PartcipantID:1
RandID:1
InitialTimeStamp:16-37-09-297
instanceNumber;cx;cy;distances;sol;nCities
1;99,346,452,658,521,302,46,15,393,865;81,190,798,314,775,627,776,940,291,536;0,869,749,175,571,758,893,758,450,414,869,0,396,922,388,399,30,665,589,497,749,396,0,870,556,688,394,915,321,343,175,922,870,0,573,732,949,672,596,527,571,388,556,573,0,202,418,362,515,366,758,399,688,732,202,0,426,268,706,561,893,30,394,949,418,426,0,694,602,516,758,665,915,672,362,268,694,0,857,707,450,589,321,596,515,706,602,857,0,149,414,497,343,527,366,561,516,707,149,0;3013;10
2;551,304,143,992,950,621,790,633,913,113;334,749,123,291,672,399,234,104,876,753;0,718,573,631,699,293,484,450,486,184,718,0,145,385,261,814,745,557,570,890,573,145,0,330,255,676,631,445,465,744,631,385,330,0,146,576,416,248,239,749,699,261,255,146,0,694,557,380,378,839,293,814,676,576,694,0,249,330,352,250,484,745,631,416,557,249,0,188,180,495,450,557,445,248,380,330,188,0,38,529,486,570,465,239,378,352,180,38,0,560,184,890,744,749,839,250,495,529,560,0;2273;10
3;53,109,761,270,615,660,289,109,671,333;893,66,560,250,162,986,855,614,482,962;0,370,461,962,542,466,507,412,111,552,370,0,349,1056,755,581,726,642,259,255,461,349,0,723,522,311,504,452,388,237,962,1056,723,0,465,503,497,577,968,942,542,755,522,465,0,213,34,130,582,754,466,581,311,503,213,0,201,181,465,546,507,726,504,497,34,201,0,95,549,734,412,642,452,577,130,181,95,0,455,672,111,259,388,968,582,465,549,455,0,447,552,255,237,942,754,546,734,672,447,0;2682;10
4;560,377,925,775,568,946,85,953,39,770;912,183,342,846,61,40,582,836,966,667;0,287,716,120,545,649,262,969,131,816,287,0,457,226,326,501,25,695,390,591,716,457,0,613,198,327,478,262,836,183,120,226,613,0,433,528,202,870,251,701,545,326,198,433,0,214,340,459,672,272,649,501,327,528,214,0,508,542,780,258,262,25,478,202,340,508,0,719,365,607,969,695,262,870,459,542,719,0,1083,297,131,390,836,251,672,780,365,1083,0,943,816,591,183,701,272,258,607,297,943,0;2510;10
5;346,119,945,647,66,352,834,818,255,773;243,977,62,917,797,522,821,703,406,116;0,673,559,421,893,972,712,913,548,593,673,0,217,270,909,402,81,445,833,98,559,217,0,271,704,413,198,376,620,227,421,270,271,0,917,641,330,638,724,178,893,909,704,917,0,795,859,643,396,931,972,402,413,641,795,0,323,152,903,496,712,81,198,330,859,323,0,365,816,173,913,445,376,638,643,152,365,0,774,526,548,833,620,724,396,903,816,774,0,811,593,98,227,178,931,496,173,526,811,0;3128;10
6;242,323,221,539,639,641,550,139,174,307;107,111,27,783,973,553,329,497,932,903;0,206,506,176,320,165,569,116,289,859,206,0,699,358,452,352,478,92,145,883,506,699,0,340,589,454,831,618,718,795,176,358,340,0,401,217,580,280,387,755,320,452,589,401,0,185,887,374,581,1154,165,352,454,217,185,0,729,260,453,969,569,478,831,580,887,729,0,524,333,517,116,92,618,280,374,260,524,0,206,882,289,145,718,387,581,453,333,206,0,764,859,883,795,755,1154,969,517,882,764,0;3060;10
7;375,788,84,20,518,404,645,437,146,70;24,278,679,176,130,342,673,258,531,130;0,629,875,609,134,434,788,297,631,630,629,0,306,590,495,223,746,772,83,506,875,306,0,594,749,521,682,940,258,489,609,590,594,0,559,606,191,479,518,104,134,495,749,559,0,300,748,370,500,559,434,223,521,606,300,0,790,635,264,553,788,746,682,191,748,790,0,616,667,242,297,772,940,479,370,635,616,0,742,546,631,83,258,518,500,264,667,742,0,429,630,506,489,104,559,553,242,546,429,0;2695;10
8;258,318,143,368,861,222,24,868,671,405;529,46,387,449,939,841,718,354,147,730;0,136,500,332,611,929,657,737,882,427,136,0,364,349,611,851,629,641,797,512,500,364,0,543,694,673,639,430,602,781,332,349,543,0,279,679,341,550,651,251,611,611,694,279,0,522,131,499,523,379,929,851,673,679,522,0,391,242,74,879,657,629,639,341,131,391,0,380,392,496,737,641,430,550,499,242,380,0,172,786,882,797,602,651,523,74,392,172,0,864,427,512,781,251,379,879,496,786,864,0;2655;10
9;839,271,983,738,28,530,607,202,907,200;7,574,541,693,455,915,56,99,673,808;0,716,891,856,387,684,586,738,947,684,716,0,214,321,678,806,167,428,293,630,891,214,0,457,771,823,305,386,81,626,856,321,457,0,938,1110,461,750,533,944,387,678,771,938,0,297,510,471,797,325,684,806,823,1110,297,0,650,443,820,200,586,167,305,461,510,650,0,321,364,485,738,428,386,750,471,443,321,0,376,243,947,293,81,533,797,820,364,376,0,620,684,630,626,944,325,200,485,243,620,0;3115;10
10;333,112,692,479,86,556,714,312,948,889;46,917,660,954,280,12,387,537,822,150;0,351,133,923,613,224,913,390,854,531,351,0,480,611,270,139,586,682,773,343,133,480,0,1028,745,346,1025,279,880,613,923,611,1028,0,507,702,78,1126,652,445,613,270,745,507,0,410,452,953,901,475,224,139,346,702,410,0,690,543,741,349,913,586,1025,78,452,690,0,1142,717,468,390,682,279,1126,953,543,1142,0,799,681,854,773,880,652,901,741,717,799,0,437,531,343,613,445,475,349,468,681,437,0;3256;10
11;678,149,966,813,949,766,492,689,594,98;70,843,6,956,135,755,97,903,554,383;0,451,468,946,780,398,351,317,112,503,451,0,585,617,737,732,548,532,343,470,468,585,0,708,334,303,125,158,431,175,946,617,708,0,539,1002,783,796,840,540,780,737,334,539,0,616,457,489,717,293,398,732,303,1002,616,0,222,219,439,462,351,548,125,783,457,222,0,34,330,245,317,532,158,796,489,219,34,0,299,264,112,343,431,840,717,439,330,299,0,429,503,470,175,540,293,462,245,264,429,0;2855;10
12;395,590,925,620,557,121,44,328,93,249;732,581,426,310,941,716,96,136,250,52;0,252,81,147,692,744,769,296,138,615,252,0,217,283,765,908,769,222,187,811,81,217,0,217,765,825,830,324,59,695,147,283,217,0,548,633,623,205,263,527,692,765,765,548,0,331,226,552,809,421,744,908,825,633,331,0,557,735,881,180,769,769,830,623,226,557,0,547,861,642,296,222,324,205,552,735,547,0,336,671,138,187,59,263,809,881,861,336,0,754,615,811,695,527,421,180,642,671,754,0;2507;10
