PartcipantID:1
RandID:1
InitialTimeStamp:16-34-19-029
block;trial;citynumber(100=Reset);Out(0)/In(1)/Reset(2)/Other;time
0;1;8;1;2.183342
0;2;3;1;66.81355
0;2;6;1;67.84097
0;2;8;1;69.02036
0;2;4;1;69.95152
0;2;7;1;70.81529
0;3;5;1;82.86592
0;3;9;1;84.24799
0;3;7;1;85.5322
0;3;0;1;86.89988
0;3;3;1;87.80052
0;3;2;1;88.86668
0;3;1;1;89.90094
0;5;9;1;56.63293
0;5;0;1;57.36652
0;5;4;1;58.63341
0;5;5;1;60.23388
0;5;3;1;61.38538
0;5;1;1;62.6021
0;5;8;1;63.90179
0;5;7;1;64.6517
0;5;6;1;65.4856
0;5;2;1;66.76748
0;6;2;1;57.43277
0;6;1;1;58.39722
0;6;3;1;59.88052
0;6;0;1;68.74542
0;8;7;1;9.067528
0;8;1;1;10.08356
0;8;8;1;11.26633
1;1;9;1;12.59549
1;1;4;1;15.20956
1;1;3;1;17.64776
1;1;5;1;24.91157
1;1;0;1;33.73009
1;1;2;1;35.59729
1;6;5;1;40.25361
1;6;6;1;41.25297
1;6;7;1;46.28761
1;6;2;1;58.98367
1;6;9;1;61.30579
1;6;0;1;62.43746
1;6;1;1;63.30534
1;6;3;1;69.92976
1;6;8;1;78.32378
1;7;6;1;63.24669
1;7;1;1;64.26101
2;4;7;1;66.63791
2;4;1;1;68.12151
2;4;5;1;69.76936
2;4;0;1;82.27283
2;5;1;1;14.56398
2;5;3;1;50.35627
2;5;100;2;55.06129
2;5;3;1;59.68098
2;5;8;1;61.40668
2;5;9;1;63.74716
2;5;2;1;67.76399
