PartcipantID:1
RandID:1
InitialTimeStamp:16-34-19-029
instanceNumber;cx;cy;distances;sol;nCities
1;635,734,398,162,34,182,689,450,609,585;937,266,952,580,232,189,35,194,385,679;0,133,518,274,211,199,684,120,690,109,133,0,297,111,13,21,866,36,259,639,518,297,0,180,925,706,900,699,90,916,274,111,180,0,867,321,264,667,74,752,211,13,925,867,0,614,856,493,581,590,199,21,706,321,614,0,660,339,518,882,684,866,900,264,856,660,0,845,30,226,120,36,699,667,493,339,845,0,405,533,690,259,90,74,581,518,30,405,0,365,109,639,916,752,590,882,226,533,365,0;1555;10
2;100,326,379,55,180,6,5,539,77,272;206,842,117,644,527,709,53,753,710,1000;0,983,393,29,192,942,212,214,268,124,983,0,23,905,111,386,913,614,148,555,393,23,0,710,523,736,699,514,978,800,29,905,710,0,582,788,499,920,867,815,192,111,523,582,0,397,39,797,493,758,942,386,736,788,397,0,806,167,187,68,212,913,699,499,39,806,0,420,514,26,214,614,514,920,797,167,420,0,943,812,268,148,978,867,493,187,514,943,0,127,124,555,800,815,758,68,26,812,127,0;1633;10
3;296,257,56,158,227,513,327,937,938,568;168,249,474,725,743,772,828,562,162,11;0,116,860,436,361,23,394,391,15,883,116,0,42,799,695,445,799,4,631,159,860,42,0,100,207,142,766,608,689,118,436,799,100,0,855,408,88,977,716,44,361,695,207,855,0,388,788,12,963,471,23,445,142,408,388,0,823,904,272,273,394,799,766,88,788,823,0,698,410,919,391,4,608,977,12,904,698,0,48,6,15,631,689,716,963,272,410,48,0,115,883,159,118,44,471,273,919,6,115,0;1104;10
4;859,963,159,897,127,935,79,436,437,328;832,58,971,562,749,398,436,496,101,111;0,802,176,727,574,937,350,580,445,98,802,0,794,948,138,346,109,366,517,176,176,794,0,759,342,362,597,164,284,566,727,948,759,0,611,481,378,141,747,103,574,138,342,611,0,21,546,293,34,821,937,346,362,481,21,0,515,990,446,827,350,109,597,378,546,515,0,989,553,162,580,366,164,141,293,990,989,0,391,586,445,517,284,747,34,446,553,391,0,852,98,176,566,103,821,827,162,586,852,0;1650;10
5;332,970,250,701,987,513,70,67,611,641;229,198,508,141,114,117,832,378,989,641;0,336,984,720,372,235,231,386,723,269,336,0,380,860,403,907,825,517,377,643,984,380,0,460,191,125,790,175,604,794,720,860,460,0,664,739,119,998,62,157,372,403,191,664,0,978,557,490,567,97,235,907,125,739,978,0,405,330,830,46,231,825,790,119,557,405,0,581,614,437,386,517,175,998,490,330,581,0,961,491,723,377,604,62,567,830,614,961,0,215,269,643,794,157,97,46,437,491,215,0;2021;10
6;854,654,871,912,387,17,367,482,419,389;844,183,345,679,209,639,658,908,590,775;0,97,86,980,880,998,103,806,428,703,97,0,109,600,571,212,135,820,25,115,86,109,0,183,891,891,716,571,99,927,980,600,183,0,129,558,828,161,958,965,880,571,891,129,0,38,411,358,346,751,998,212,891,558,38,0,896,628,932,979,103,135,716,828,411,896,0,838,258,200,806,820,571,161,358,628,838,0,435,74,428,25,99,958,346,932,258,435,0,647,703,115,927,965,751,979,200,74,647,0;1127;10
7;980,426,214,11,394,484,636,793,950,763;782,583,580,161,794,177,518,25,45,630;0,742,615,42,477,873,225,675,392,767,742,0,729,632,193,195,837,592,243,358,615,729,0,328,452,296,792,987,708,982,42,632,328,0,897,949,496,996,110,26,477,193,452,897,0,380,370,92,79,668,873,195,296,949,380,0,995,675,629,424,225,837,792,496,370,995,0,241,461,592,675,592,987,996,92,675,241,0,279,495,392,243,708,110,79,629,461,279,0,435,767,358,982,26,668,424,592,495,435,0;2193;10
8;726,639,58,61,878,6,398,84,291,236;270,887,504,946,422,341,459,223,698,868;0,507,494,954,829,45,506,270,549,27,507,0,125,354,21,301,493,2,888,694,494,125,0,149,375,888,2,795,914,918,954,354,149,0,592,804,714,362,401,494,829,21,375,592,0,697,351,768,961,576,45,301,888,804,697,0,167,107,100,525,506,493,2,714,351,167,0,830,967,512,270,2,795,362,768,107,830,0,398,818,549,888,914,401,961,100,967,398,0,104,27,694,918,494,576,525,512,818,104,0;1209;10
9;426,590,340,261,397,734,413,464,83,972;455,888,433,257,264,433,24,551,773,175;0,143,948,60,217,290,327,27,510,415,143,0,266,472,559,94,980,149,692,107,948,266,0,713,909,395,477,391,577,212,60,472,713,0,299,379,296,102,623,215,217,559,909,299,0,990,839,274,684,388,290,94,395,379,990,0,651,227,262,903,327,980,477,296,839,651,0,321,845,213,27,149,391,102,274,227,321,0,297,722,510,692,577,623,684,262,845,297,0,961,415,107,212,215,388,903,213,722,961,0;2183;10
10;611,169,889,803,567,580,526,119,410,794;259,458,591,149,27,914,752,100,828,216;0,772,932,630,553,815,399,397,436,825,772,0,745,428,431,460,206,348,275,570,932,745,0,429,832,395,55,49,948,15,630,428,429,0,680,589,798,252,862,863,553,431,832,680,0,156,83,687,52,219,815,460,395,589,156,0,705,312,816,638,399,206,55,798,83,705,0,767,601,380,397,348,49,252,687,312,767,0,605,836,436,275,948,862,52,816,601,605,0,194,825,570,15,863,219,638,380,836,194,0;2408;10
