PartcipantID:1
RandID:1
InitialTimeStamp:16-34-19-029
block;trial;eventType;elapsedTime
0;0;InterProblemRest;0.13
0;1;Trial;10.887
0;1;ParticipantAnswer;100.911
0;1;InterTrialRest;100.978
0;2;Trial;103.593
0;2;ParticipantAnswer;193.618
0;2;InterTrialRest;193.69
0;3;Trial;196.288
0;3;ParticipantAnswer;286.297
0;3;InterTrialRest;286.369
0;4;Trial;288.961
0;4;ParticipantAnswer;378.985
0;4;InterTrialRest;379.056
0;5;Trial;381.644
0;5;ParticipantAnswer;471.645
0;5;InterTrialRest;471.728
0;6;Trial;474.334
0;6;ParticipantAnswer;795.114
0;6;InterTrialRest;795.195
0;7;Trial;797.786
0;7;ParticipantAnswer;887.788
0;7;InterTrialRest;887.86
0;8;Trial;890.449
0;8;ParticipantAnswer;980.453
0;8;InterTrialRest;980.52
1;0;InterBlockRest;983.09
1;1;Trial;992.515
1;1;ParticipantAnswer;1082.507
1;1;InterTrialRest;1082.581
1;2;Trial;1085.175
1;2;ParticipantAnswer;1175.175
1;2;InterTrialRest;1175.243
1;3;Trial;1177.844
1;3;ParticipantAnswer;1267.843
1;3;InterTrialRest;1267.91
1;4;Trial;1270.506
1;4;ParticipantAnswer;1360.501
1;4;InterTrialRest;1360.574
1;5;Trial;1363.186
1;5;ParticipantAnswer;1453.194
1;5;InterTrialRest;1453.267
1;6;Trial;1455.866
1;6;ParticipantAnswer;1626.792
1;6;InterTrialRest;1626.88
1;7;Trial;1629.477
1;7;ParticipantAnswer;2537.341
1;7;InterTrialRest;2537.441
1;8;Trial;2540.047
1;8;ParticipantAnswer;2630.051
1;8;InterTrialRest;2630.121
2;0;InterBlockRest;2632.687
2;1;Trial;2648.536
2;1;ParticipantAnswer;2738.558
2;1;InterTrialRest;2738.637
2;2;Trial;2741.225
2;2;ParticipantAnswer;2831.232
2;2;InterTrialRest;2831.304
2;3;Trial;2833.895
2;3;ParticipantAnswer;2923.896
2;3;InterTrialRest;2923.966
2;4;Trial;2926.572
2;4;ParticipantAnswer;3016.557
2;4;InterTrialRest;3016.634
2;5;Trial;3019.222
2;5;ParticipantAnswer;3113.385
2;5;InterTrialRest;3113.455
2;6;Trial;3116.048
2;6;ParticipantAnswer;3211.169
2;6;InterTrialRest;3211.246
2;7;Trial;3213.834
2;7;ParticipantAnswer;3303.839
2;7;InterTrialRest;3303.911
2;8;Trial;3306.509
2;8;ParticipantAnswer;3396.507
2;8;InterTrialRest;3396.581
