PartcipantID:1
RandID:1
block;trial;timeSpent;itemsSelected;finaldistance;instanceNumber;performance;pay;timedOut(Yes,neverValid(1)/Yes,previouslyValid(2)/No(0))
0;1;90;8;0;19;0;0;1
0;2;90;3,6,8,4,7;2385;22;0;0;1
0;3;90;5,9,7,0,3,2,1;3131;6;0;0;1
0;4;90;;0;24;0;0;1
0;5;90;9,0,4,5,3,1,8,7,6,2;3503;23;0;0;1
0;6;90;2,1,3,0;1680;21;0;0;1
0;7;90;;0;9;0;0;1
0;8;90;7,1,8;623;10;0;0;1
1;1;90;9,4,3,5,0,2;1872;12;0;0;1
1;2;90;;0;13;0;0;1
1;3;90;;0;7;0;0;1
1;4;90;;0;14;0;0;1
1;5;90;;0;1;0;0;1
1;6;90;5,6,7,2,9,0,1,3,8;4761;3;0;0;1
1;7;90;6,1;181;18;0;0;1
1;8;90;;0;20;0;0;1
2;1;90;;0;5;0;0;1
2;2;90;;0;8;0;0;1
2;3;90;;0;17;0;0;1
2;4;90;7,1,5,0;980;15;0;0;1
2;5;90;3,8,9,2;1797;11;0;0;1
2;6;90;;0;2;0;0;1
2;7;90;;0;4;0;0;1
2;8;90;;0;16;0;0;1
