PartcipantID:1
RandID:1
InitialTimeStamp:16-37-09-297
instanceNumber;cx;cy;distances;weights;start;end;sol;max_wt;nCities
1;92,733,835,705,442,750,527,930,406,87;131,47,511,87,689,800,101,279,651,623;0,413,763,0,0,0,0,0,0,0,413,0,437,0,0,725,0,564,0,0,763,437,0,0,402,1022,759,296,0,513,0,0,0,0,0,655,0,0,807,341,0,0,402,0,0,0,404,391,0,124,0,725,1022,655,0,0,347,916,879,0,0,0,759,0,404,347,0,594,0,281,0,564,296,0,391,916,594,0,0,442,0,0,0,807,0,879,0,0,0,510,0,0,513,341,124,0,281,442,510,0;0,367,8,0,0,0,0,0,0,0,367,0,452,0,0,190,0,186,0,0,8,452,0,0,213,343,539,544,0,815,0,0,0,0,0,264,0,0,697,27,0,0,213,0,0,0,463,807,0,99,0,190,343,264,0,0,77,875,449,0,0,0,539,0,463,77,0,124,0,668,0,186,544,0,807,875,124,0,0,662,0,0,0,697,0,449,0,0,0,131,0,0,815,27,99,0,668,662,131,0;3;1;1304;1173;10
2;191,410,57,738,910,660,54,796,52,506;46,325,905,126,374,885,509,285,592,793;0,0,470,0,0,0,364,122,636,427,0,0,693,470,370,0,466,0,862,443,470,693,0,0,364,0,442,0,0,609,0,470,0,0,0,410,0,271,0,492,0,370,364,0,0,394,0,0,613,0,0,0,0,410,394,0,0,525,0,0,364,466,442,0,0,0,0,0,729,0,122,0,0,271,0,525,0,0,689,305,636,862,0,0,613,0,729,689,0,0,427,443,609,492,0,0,0,305,0,0;0,0,158,0,0,0,182,808,655,144,0,0,154,311,542,0,792,0,405,96,158,154,0,0,355,0,227,0,0,397,0,311,0,0,0,896,0,740,0,260,0,542,355,0,0,372,0,0,735,0,0,0,0,896,372,0,0,61,0,0,182,792,227,0,0,0,0,0,493,0,808,0,0,740,0,61,0,0,394,826,655,405,0,0,735,0,493,394,0,0,144,96,397,260,0,0,0,826,0,0;3;2;863;1957;10
3;426,697,976,20,652,898,256,722,945,852;920,808,767,598,143,906,408,722,255,33;0,0,582,645,0,0,190,516,0,0,0,0,626,287,0,0,735,505,0,692,582,626,0,0,0,210,0,0,0,473,645,287,0,0,771,177,0,0,275,0,0,0,0,771,0,703,306,659,0,0,0,0,210,177,703,0,410,0,0,381,190,735,0,0,306,410,0,375,0,43,516,505,0,0,659,0,375,0,305,0,0,0,0,275,0,0,0,305,0,183,0,692,473,0,0,381,43,0,183,0;0,0,105,77,0,0,535,410,0,0,0,0,749,321,0,0,851,386,0,562,105,749,0,0,0,482,0,0,0,589,77,321,0,0,56,287,0,0,801,0,0,0,0,56,0,372,120,630,0,0,0,0,482,287,372,0,996,0,0,45,535,851,0,0,120,996,0,24,0,452,410,386,0,0,630,0,24,0,427,0,0,0,0,801,0,0,0,427,0,665,0,562,589,0,0,45,452,0,665,0;2;4;822;2161;10
4;380,249,824,715,93,370,616,208,80,574;657,209,962,798,789,946,129,521,631,983;0,0,0,0,0,0,380,0,470,0,0,0,94,301,0,65,0,0,470,556,0,94,0,0,523,0,368,0,437,0,0,301,0,0,0,238,478,0,0,825,0,0,523,0,0,610,828,960,941,172,0,65,0,238,610,0,0,0,0,619,380,0,368,478,828,0,0,0,161,908,0,0,0,0,960,0,0,0,117,999,470,470,437,0,941,0,161,117,0,0,0,556,0,825,172,619,908,999,0,0;0,0,0,0,0,0,290,0,551,0,0,0,916,979,0,673,0,0,295,75,0,916,0,0,100,0,219,0,182,0,0,979,0,0,0,806,277,0,0,129,0,0,100,0,0,651,678,52,421,302,0,673,0,806,651,0,0,0,0,752,290,0,219,277,678,0,0,0,492,367,0,0,0,0,52,0,0,0,994,184,551,295,182,0,421,0,492,994,0,0,0,75,0,129,302,752,367,184,0,0;3;7;756;2257;10
5;419,795,54,159,416,187,296,369,682,532;943,303,680,619,717,10,199,888,865,618;0,0,386,0,356,0,714,0,260,0,0,0,0,835,613,0,901,168,756,0,386,0,0,264,186,533,0,425,0,0,0,835,264,0,248,525,649,670,0,342,356,613,186,248,0,0,719,0,0,0,0,0,533,525,0,0,0,0,706,309,714,901,0,649,719,0,0,0,0,0,0,168,425,670,0,0,0,0,605,581,260,756,0,0,0,706,0,605,0,0,0,0,0,342,0,309,0,581,0,0;0,0,549,0,960,0,189,0,562,0,0,0,0,138,940,0,150,911,266,0,549,0,0,139,408,569,0,602,0,0,0,138,139,0,103,675,14,487,0,383,960,940,408,103,0,0,842,0,0,0,0,0,569,675,0,0,0,0,226,163,189,150,0,14,842,0,0,0,0,0,0,911,602,487,0,0,0,0,703,566,562,266,0,0,0,226,0,703,0,0,0,0,0,383,0,163,0,566,0,0;8;4;1479;1146;10
6;271,225,985,590,540,464,116,257,821,692;559,446,679,70,441,474,552,117,794,213;0,0,859,0,0,126,538,0,639,0,0,0,457,0,0,0,0,847,0,711,859,457,0,357,0,858,0,0,570,406,0,0,357,0,813,0,435,295,0,102,0,0,0,813,0,0,642,0,0,909,126,0,858,0,0,0,0,869,0,894,538,0,0,435,642,0,0,0,912,475,0,847,0,295,0,869,0,0,0,273,639,0,570,0,0,0,912,0,0,853,0,711,406,102,909,894,475,273,853,0;0,0,275,0,0,857,984,0,392,0,0,0,535,0,0,0,0,819,0,74,275,535,0,147,0,708,0,0,160,838,0,0,147,0,188,0,879,762,0,249,0,0,0,188,0,0,599,0,0,497,857,0,708,0,0,0,0,15,0,924,984,0,0,879,599,0,0,0,834,65,0,819,0,762,0,15,0,0,0,728,392,0,160,0,0,0,834,0,0,713,0,74,838,249,497,924,65,728,713,0;2;7;652;2129;10
7;191,410,57,738,910,660,54,796,52,506;46,325,905,126,374,885,509,285,592,793;0,0,470,0,0,0,364,122,636,427,0,0,693,470,370,0,466,0,862,443,470,693,0,0,364,0,442,0,0,609,0,470,0,0,0,410,0,271,0,492,0,370,364,0,0,394,0,0,613,0,0,0,0,410,394,0,0,525,0,0,364,466,442,0,0,0,0,0,729,0,122,0,0,271,0,525,0,0,689,305,636,862,0,0,613,0,729,689,0,0,427,443,609,492,0,0,0,305,0,0;0,0,158,0,0,0,182,808,655,144,0,0,154,311,542,0,792,0,405,96,158,154,0,0,355,0,227,0,0,397,0,311,0,0,0,896,0,740,0,260,0,542,355,0,0,372,0,0,735,0,0,0,0,896,372,0,0,61,0,0,182,792,227,0,0,0,0,0,493,0,808,0,0,740,0,61,0,0,394,826,655,405,0,0,735,0,493,394,0,0,144,96,397,260,0,0,0,826,0,0;1;6;1135;652;10
8;869,833,541,618,926,199,217,98,40,225;518,735,519,208,118,34,558,180,238,839;0,0,661,0,0,178,527,698,84,378,0,0,995,0,324,518,786,0,342,534,661,995,0,774,703,538,0,0,653,0,0,0,774,0,0,0,0,0,535,806,0,324,703,0,0,0,0,0,0,427,178,518,538,0,0,0,0,0,0,461,527,786,0,0,0,0,0,0,604,849,698,0,0,0,0,0,0,0,776,0,84,342,653,535,0,0,604,776,0,0,378,534,0,806,427,461,849,0,0,0;0,0,592,0,0,571,827,82,759,696,0,0,115,0,862,731,119,0,110,304,592,115,0,176,274,276,0,0,148,0,0,0,176,0,0,0,0,0,225,135,0,862,274,0,0,0,0,0,0,544,571,731,276,0,0,0,0,0,0,163,827,119,0,0,0,0,0,0,235,719,82,0,0,0,0,0,0,0,760,0,759,110,148,225,0,0,235,760,0,0,696,304,0,135,544,163,719,0,0,0;3;7;1311;2048;10
9;426,697,976,20,652,898,256,722,945,852;920,808,767,598,143,906,408,722,255,33;0,0,582,645,0,0,190,516,0,0,0,0,626,287,0,0,735,505,0,692,582,626,0,0,0,210,0,0,0,473,645,287,0,0,771,177,0,0,275,0,0,0,0,771,0,703,306,659,0,0,0,0,210,177,703,0,410,0,0,381,190,735,0,0,306,410,0,375,0,43,516,505,0,0,659,0,375,0,305,0,0,0,0,275,0,0,0,305,0,183,0,692,473,0,0,381,43,0,183,0;0,0,105,77,0,0,535,410,0,0,0,0,749,321,0,0,851,386,0,562,105,749,0,0,0,482,0,0,0,589,77,321,0,0,56,287,0,0,801,0,0,0,0,56,0,372,120,630,0,0,0,0,482,287,372,0,996,0,0,45,535,851,0,0,120,996,0,24,0,452,410,386,0,0,630,0,24,0,427,0,0,0,0,801,0,0,0,427,0,665,0,562,589,0,0,45,452,0,665,0;2;4;913;1080;10
10;380,249,824,715,93,370,616,208,80,574;657,209,962,798,789,946,129,521,631,983;0,0,0,0,0,0,380,0,470,0,0,0,94,301,0,65,0,0,470,556,0,94,0,0,523,0,368,0,437,0,0,301,0,0,0,238,478,0,0,825,0,0,523,0,0,610,828,960,941,172,0,65,0,238,610,0,0,0,0,619,380,0,368,478,828,0,0,0,161,908,0,0,0,0,960,0,0,0,117,999,470,470,437,0,941,0,161,117,0,0,0,556,0,825,172,619,908,999,0,0;0,0,0,0,0,0,290,0,551,0,0,0,916,979,0,673,0,0,295,75,0,916,0,0,100,0,219,0,182,0,0,979,0,0,0,806,277,0,0,129,0,0,100,0,0,651,678,52,421,302,0,673,0,806,651,0,0,0,0,752,290,0,219,277,678,0,0,0,492,367,0,0,0,0,52,0,0,0,994,184,551,295,182,0,421,0,492,994,0,0,0,75,0,129,302,752,367,184,0,0;6;5;716;1354;10
